trial 0, 357.251000166 seconds, initial = 47.1924289236, final = 40.7226124126, result = 6.46981651093
trial 1, 354.194999933 seconds, initial = 47.1924289236, final = 40.7226124126, result = 6.46981651093
trial 2, 350.125999928 seconds, initial = 47.1924289236, final = 40.7226124126, result = 6.46981651093
trial 3, 323.374000072 seconds, initial = 47.1924289236, final = 40.7226124126, result = 6.46981651093
trial 4, 264.315000057 seconds, initial = 47.1924289236, final = 40.7226124126, result = 6.46981651093
trial 5, 264.921999931 seconds, initial = 47.1924289236, final = 40.7226124126, result = 6.46981651093
trial 6, 263.101999998 seconds, initial = 47.1924289236, final = 40.7226124126, result = 6.46981651093
trial 7, 268.565999985 seconds, initial = 47.1924289236, final = 40.7226124126, result = 6.46981651093
trial 8, 267.398000002 seconds, initial = 47.1924289236, final = 40.7226124126, result = 6.46981651093
trial 9, 261.184000015 seconds, initial = 47.1924289236, final = 40.7226124126, result = 6.46981651093
trial 0, 62.9660000801 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 1, 7.16999983788 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 2, 0.444000005722 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 3, 0.368999958038 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 4, 0.390000104904 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 5, 0.370000123978 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 6, 0.364000082016 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 7, 0.385999917984 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 8, 0.398999929428 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 9, 0.391999959946 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 0, 0.340000152588 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 1, 0.3140001297 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 2, 0.351000070572 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 3, 0.358999967575 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 4, 0.318000078201 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 5, 0.346999883652 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 6, 0.34099984169 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 7, 0.328999996185 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 8, 0.333000183105 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 9, 0.322000026703 seconds, initial = 47.1924289236, final = 42.9498187252, result = 4.24261019835
trial 0, 0.838000059128 seconds, initial = 47.1924289236, final = 43.4502573472, result = 3.74217157639
trial 1, 0.81500005722 seconds, initial = 47.1924289236, final = 43.4502573472, result = 3.74217157639
trial 2, 0.841000080109 seconds, initial = 47.1924289236, final = 43.4502573472, result = 3.74217157639
trial 3, 0.871000051498 seconds, initial = 47.1924289236, final = 43.4502573472, result = 3.74217157639
trial 4, 0.811000108719 seconds, initial = 47.1924289236, final = 43.4502573472, result = 3.74217157639
trial 5, 0.788000106812 seconds, initial = 47.1924289236, final = 43.4502573472, result = 3.74217157639
trial 6, 0.805999994278 seconds, initial = 47.1924289236, final = 43.4502573472, result = 3.74217157639
trial 7, 0.80999994278 seconds, initial = 47.1924289236, final = 43.4502573472, result = 3.74217157639
trial 8, 0.815999984741 seconds, initial = 47.1924289236, final = 43.4502573472, result = 3.74217157639
trial 9, 0.892999887466 seconds, initial = 47.1924289236, final = 43.4502573472, result = 3.74217157639
trial 0, 0.384000062943 seconds, initial = 47.1924289236, final = 41.9429092108, result = 5.24951971271
trial 1, 0.40499997139 seconds, initial = 47.1924289236, final = 41.9429092108, result = 5.24951971271
trial 2, 0.465000152588 seconds, initial = 47.1924289236, final = 41.9429092108, result = 5.24951971271
trial 3, 0.391999959946 seconds, initial = 47.1924289236, final = 41.9429092108, result = 5.24951971271
trial 4, 0.411999940872 seconds, initial = 47.1924289236, final = 41.9429092108, result = 5.24951971271
trial 5, 0.398999929428 seconds, initial = 47.1924289236, final = 41.9429092108, result = 5.24951971271
trial 6, 0.398000001907 seconds, initial = 47.1924289236, final = 41.9429092108, result = 5.24951971271
trial 7, 0.392999887466 seconds, initial = 47.1924289236, final = 41.9429092108, result = 5.24951971271
trial 8, 0.423999786377 seconds, initial = 47.1924289236, final = 41.9429092108, result = 5.24951971271
trial 9, 0.394000053406 seconds, initial = 47.1924289236, final = 41.9429092108, result = 5.24951971271
trial 0, 30.6259999275 seconds, initial = 47.1924289236, final = 41.4433387917, result = 5.7490901319
trial 1, 24.9409999847 seconds, initial = 47.1924289236, final = 41.4433387917, result = 5.7490901319
